nome,lattes_url,ano_publicacao,titulo_publicacao,periodico,issn,qualis,pontos,area,ano_base
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2010,"Anopheles aquasalis Infected by Plasmodium vivax Displays Unique Gene Expression Profiles when Compared to Other Malaria Vectors and Plasmodia","PLOS ONE",1932-6203,A1,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2010,"Differential Midgut Attachment of Leishmania (Viannia) braziliensis in the Sand Flies Lutzomyia (Nyssomyia) whitmani and Lutzomyia (Nyssomyia) intermedia","JOURNAL OF BIOMEDICINE AND BIOTECHNOLOGY",1110-7243,N,,,
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2010,"Trypsin-Like Serine Proteases in Lutzomyia longipalpis? Expression, Activity and Possible Modulation by Leishmania infantum chagasi","PLOS ONE",1932-6203,A1,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2010,"Proteophosphoglycan confers resistance of Leishmania major to midgut digestive enzymes induced by blood feeding in vector sand flies","CELLULAR MICROBIOLOGY",1462-5814,A2,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2009,"Demonstration of Genetic Exchange During Cyclical Development of Leishmania in the Sand Fly Vector","SCIENCE",0036-8075,A1,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2009,"vector transmission of Leishmania abrogates vaccine-induced protective immunity","PLOS PATHOGENS",1553-7366,A1,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2009,"Saliva of laboratory - reared Lutzomyia longipalpis exacerbates Leishmania (leishmania) amazonensis infection more potently than saliva of wild-caught Lutzomyia longipalpis","PARASITOLOGY INTERNATIONAL",1383-5769,A3,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2009,"Effects of Salivary Gland Homogenate from Wild-Caught and Laboratory-Reared Lutzomyia longipalpis on the Evolution and Immunomodulation of Leishmania (Leishmania) amazonensis Infection","SCANDINAVIAN JOURNAL OF IMMUNOLOGY (ONLINE)",1365-3083,A4,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2009,"Dengue prevention at the household level: preliminary evaluation of a mesh cover for flowerpot saucers","REVISTA DE SAÚDE PÚBLICA (USP. IMPRESSO)",0034-8910,A1,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2008,"Fine Structure and distribuition pattern of  antenna sensilla of Lutzomyia longipalpis ( Diptera: sychodidae) sandflies","JOURNAL OF MEDICAL ENTOMOLOGY",0022-2585,A1,,,2020
"Nagila Francinete Costa Secundino",http://lattes.cnpq.br/0641258278314799,2008,"Quantification of the infectious dose of Leishmaniamajor transmitted to the skin by single sand flies","PNAS. PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",0027-8424,A1,,,2020
